flowdate,hour,period,market,from,to,transit
20251230,5,18,MGP,NORD,SLOV,0.0000
20251230,5,18,MGP,NORD,FRAN,0.0000
20251230,5,18,MGP,NORD,COUP,-2019.0000
20251230,5,18,MGP,NORD,AUST,0.0000
20251230,5,18,MGP,CSUD,SUD,-762.2000
20251230,5,18,MGP,CSUD,SARD,-80.6650
20251230,5,18,MGP,CSUD,MONT,-508.0000
20251230,5,18,MGP,COUP,XFRA,-2864.0000
20251230,5,18,MGP,COUP,XAUS,165.0000
20251230,5,18,MGP,CNOR,NORD,-571.6030
20251230,5,18,MGP,CNOR,CSUD,37.8500
20251230,5,18,MGP,CNOR,CORS,0.0000
20251230,5,18,MGP,CALA,SUD,-724.3000
20251230,5,18,MGP,CALA,SICI,987.8000
20251230,5,18,MGP,BSP,COUP,-680.0000
20251230,5,19,MGP,BSP,COUP,-680.0000
20251230,5,19,MGP,CALA,SICI,956.3000
20251230,5,19,MGP,CALA,SUD,-691.1000
20251230,5,19,MGP,CNOR,CORS,0.0000
20251230,5,19,MGP,CNOR,CSUD,-55.3530
20251230,5,19,MGP,CNOR,NORD,-505.4420
20251230,5,19,MGP,COUP,XAUS,165.0000
20251230,5,19,MGP,COUP,XFRA,-2864.0000
20251230,5,19,MGP,CSUD,MONT,-508.0000
20251230,5,19,MGP,CSUD,SARD,-172.8670
20251230,5,19,MGP,CSUD,SUD,-787.8000
20251230,5,19,MGP,NORD,AUST,0.0000
20251230,5,19,MGP,NORD,COUP,-2019.0000
20251230,5,19,MGP,NORD,FRAN,0.0000
20251230,5,19,MGP,NORD,SLOV,0.0000
20251230,5,19,MGP,NORD,SVIZ,-888.0000
20251230,5,19,MGP,SARD,COAC,92.0000
20251230,5,19,MGP,SARD,CORS,40.0000
20251230,5,19,MGP,SICI,MALT,86.0000
20251230,5,19,MGP,SUD,GREC,0.0000
20251230,5,19,MGP,SUD,XGRE,-500.0000
20251230,5,20,MGP,SUD,XGRE,-500.0000
20251230,5,20,MGP,SUD,GREC,0.0000
20251230,5,20,MGP,SICI,MALT,89.0000
20251230,5,20,MGP,SARD,CORS,40.0000
20251230,5,20,MGP,SARD,COAC,92.0000
20251230,5,20,MGP,NORD,SVIZ,-887.0000
20251230,5,20,MGP,NORD,SLOV,0.0000
20251230,5,20,MGP,NORD,FRAN,0.0000
20251230,5,20,MGP,NORD,COUP,-2019.0000
20251230,5,20,MGP,NORD,AUST,0.0000
20251230,5,20,MGP,CSUD,SUD,-744.7000
20251230,5,20,MGP,CSUD,SARD,-63.4160
20251230,5,20,MGP,CSUD,MONT,-508.0000
20251230,5,20,MGP,COUP,XFRA,-2864.0000
20251230,5,20,MGP,COUP,XAUS,165.0000
20251230,5,20,MGP,CNOR,NORD,-581.7220
20251230,5,20,MGP,CNOR,CSUD,64.7810
20251230,5,20,MGP,CNOR,CORS,0.0000
20251230,5,20,MGP,CALA,SUD,-722.8000
20251230,5,20,MGP,CALA,SICI,987.3000
20251230,5,20,MGP,BSP,COUP,-680.0000
20251230,6,21,MGP,BSP,COUP,-680.0000
20251230,6,21,MGP,CALA,SICI,995.1000
20251230,6,21,MGP,CALA,SUD,-743.4000
20251230,6,21,MGP,CNOR,CORS,0.0000
20251230,6,21,MGP,CNOR,CSUD,44.5000
20251230,6,21,MGP,CNOR,NORD,-579.5000
20251230,6,21,MGP,COUP,XAUS,165.0000
20251230,6,21,MGP,COUP,XFRA,-2864.0000
20251230,6,21,MGP,CSUD,MONT,-480.0000
20251230,6,21,MGP,CSUD,SARD,-183.8000
20251230,6,21,MGP,CSUD,SUD,-711.3000
20251230,6,21,MGP,NORD,AUST,0.0000
20251230,6,21,MGP,NORD,COUP,-2019.0000
20251230,6,21,MGP,NORD,FRAN,0.0000
20251230,6,21,MGP,NORD,SLOV,0.0000
20251230,6,21,MGP,NORD,SVIZ,-756.0000
20251230,6,21,MGP,SARD,COAC,91.0000
20251230,6,21,MGP,SARD,CORS,43.0000
20251230,6,21,MGP,SICI,MALT,94.0000
20251230,6,21,MGP,SUD,XGRE,-500.0000
20251230,6,21,MGP,SUD,GREC,0.0000
20251230,6,22,MGP,SUD,GREC,0.0000
20251230,6,22,MGP,SUD,XGRE,-500.0000
20251230,6,22,MGP,SICI,MALT,99.0000
20251230,6,22,MGP,SARD,CORS,43.0000
20251230,6,22,MGP,SARD,COAC,91.0000
20251230,6,22,MGP,NORD,SVIZ,-756.0000
20251230,6,22,MGP,NORD,SLOV,0.0000
20251230,6,22,MGP,NORD,FRAN,0.0000
20251230,6,22,MGP,NORD,COUP,-2019.0000
20251230,6,22,MGP,NORD,AUST,0.0000
20251230,6,22,MGP,CSUD,SUD,-686.5000
20251230,6,22,MGP,CSUD,SARD,-181.6000
20251230,6,22,MGP,CSUD,MONT,-480.0000
20251230,6,22,MGP,COUP,XFRA,-2864.0000
20251230,6,22,MGP,COUP,XAUS,165.0000
20251230,6,22,MGP,CNOR,NORD,-814.4000
20251230,6,22,MGP,CNOR,CSUD,166.5000
20251230,6,22,MGP,CNOR,CORS,0.0000
20251230,6,22,MGP,CALA,SUD,-762.6000
20251230,6,22,MGP,CALA,SICI,1004.5000
20251230,6,22,MGP,BSP,COUP,-680.0000
20251230,6,23,MGP,BSP,COUP,-680.0000
20251230,6,23,MGP,CALA,SICI,1023.4000
20251230,6,23,MGP,CALA,SUD,-785.3000
20251230,6,23,MGP,CNOR,CORS,0.0000
20251230,6,23,MGP,CNOR,CSUD,207.0000
20251230,6,23,MGP,CNOR,NORD,-820.0000
20251230,6,23,MGP,COUP,XAUS,165.0000
20251230,6,23,MGP,COUP,XFRA,-2864.0000
20251230,6,23,MGP,CSUD,MONT,-465.0000
20251230,6,23,MGP,CSUD,SARD,-171.6000
20251230,6,23,MGP,CSUD,SUD,-666.9000
20251230,6,23,MGP,NORD,AUST,0.0000
20251230,6,23,MGP,NORD,COUP,-2019.0000
20251230,6,23,MGP,NORD,FRAN,0.0000
20251230,6,23,MGP,NORD,SLOV,0.0000
20251230,6,23,MGP,NORD,SVIZ,-755.0000
20251230,6,23,MGP,SARD,COAC,91.0000
20251230,6,23,MGP,SARD,CORS,43.0000
20251230,6,23,MGP,SICI,MALT,106.0000
20251230,6,23,MGP,SUD,XGRE,-500.0000
20251230,6,23,MGP,SUD,GREC,0.0000
20251230,6,24,MGP,SUD,GREC,0.0000
20251230,6,24,MGP,SUD,XGRE,-500.0000
20251230,6,24,MGP,SICI,MALT,113.0000
20251230,6,24,MGP,SARD,CORS,43.0000
20251230,6,24,MGP,SARD,COAC,91.0000
20251230,6,24,MGP,NORD,SVIZ,-819.0000
20251230,6,24,MGP,NORD,SLOV,0.0000
20251230,6,24,MGP,NORD,FRAN,0.0000
20251230,6,24,MGP,NORD,COUP,-2019.0000
20251230,6,24,MGP,NORD,AUST,0.0000
20251230,6,24,MGP,CSUD,SUD,-549.1000
20251230,6,24,MGP,CSUD,SARD,-162.5000
20251230,6,24,MGP,CSUD,MONT,-465.0000
20251230,6,24,MGP,COUP,XFRA,-2864.0000
20251230,6,24,MGP,COUP,XAUS,165.0000
20251230,6,24,MGP,CNOR,NORD,-989.8060
20251230,6,24,MGP,CNOR,CSUD,405.7000
20251230,6,24,MGP,CNOR,CORS,0.0000
20251230,6,24,MGP,CALA,SUD,-835.9000
20251230,6,24,MGP,CALA,SICI,1072.9000
20251230,6,24,MGP,BSP,COUP,-680.0000
20251230,7,25,MGP,BSP,COUP,-680.0000
20251230,7,25,MGP,CALA,SICI,1117.7000
20251230,7,25,MGP,CALA,SUD,-855.7000
20251230,7,25,MGP,CNOR,CORS,0.0000
20251230,7,25,MGP,CNOR,CSUD,765.7610
20251230,7,25,MGP,CNOR,NORD,-1367.7610
20251230,7,25,MGP,COUP,XAUS,165.0000
20251230,7,25,MGP,COUP,XFRA,-2864.0000
20251230,7,25,MGP,CSUD,MONT,-385.0000
20251230,7,25,MGP,CSUD,SARD,-155.8000
20251230,7,25,MGP,CSUD,SUD,-304.5390
20251230,7,25,MGP,NORD,AUST,0.0000
20251230,7,25,MGP,NORD,COUP,-2019.0000
20251230,7,25,MGP,NORD,FRAN,0.0000
20251230,7,25,MGP,NORD,SLOV,0.0000
20251230,7,25,MGP,NORD,SVIZ,-917.0000
20251230,7,25,MGP,SARD,COAC,99.0000
20251230,7,25,MGP,SARD,CORS,47.0000
20251230,7,25,MGP,SICI,MALT,122.0000
20251230,7,25,MGP,SUD,GREC,0.0000
20251230,7,25,MGP,SUD,XGRE,-232.8390
20251230,7,26,MGP,SUD,XGRE,-232.8390
20251230,7,26,MGP,SUD,GREC,0.0000
